Id,Incident_Id,Incident_Number,Incident_Date,Incident_Dayofmonth,Incident_Month_Number,Incident_Month_Name,Incident_Dayofweek_number,Incident_Dayofweek_name,Incident_Year,Incident_Time,Incident_Hour,Report_Date,Report_Dayofmonth,Report_Month_Number,Report_Month_Name,Report_Dayofweek_number,Report_Dayofweek_name,Report_Year,Report_time,Report_Hour,Incident_Code,Incident_Category,Incident_Subcategory,Incident_Description,Report_Type_Code,Report_Type_Description,Filed_Online,Police_District,Resolution,Latitude,Longitude,Point,Neighborhood,Intersection
0,1254318,230182844,2023-03-11T00:00:00,11,3,March,5,Saturday,2023,14:00:00,14,2023-03-15T00:00:00,15,3,March,2,Wednesday,2023,11:21:00,11:21:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Park,Open or Active,37.77289518,-122.4542851,POINT (-122.45428511766733 37.772895177200766),Golden Gate Park,STANYAN ST \ HAYES ST
1,1254393,230184129,2022-06-27T00:00:00,27,6,June,0,Monday,2022,12:00:00,12,2023-03-15T00:00:00,15,3,March,2,Wednesday,2023,17:20:00,17:20:00,71000,Property Crimes,Lost Property,Lost Property,II,Initial,0,Central,Open or Active,37.78735926,-122.4082267,POINT (-122.40822672700406 37.78735926098589),Financial District/South Beach,GEARY ST \ POWELL ST
2,1254826,230187101,2023-03-16T00:00:00,16,3,March,3,Thursday,2023,17:30:00,17,2023-03-16T00:00:00,16,3,March,3,Thursday,2023,18:02:00,18:02:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Bayview,Open or Active,37.76228997,-122.4013242,POINT (-122.40132418490647 37.76228996810526),Potrero Hill,18TH ST \ DE HARO ST
3,1256563,230199764,2023-03-21T00:00:00,21,3,March,1,Tuesday,2023,15:50:00,15,2023-03-21T00:00:00,21,3,March,1,Tuesday,2023,16:01:00,16:01:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Northern,Open or Active,37.78703795,-122.418271,POINT (-122.41827098126804 37.787037946181535),Tenderloin,POST ST \ LARKIN ST
4,1062676,210537297,2021-08-22T00:00:00,22,8,August,6,Sunday,2021,09:40:00,9,2021-08-22T00:00:00,22,8,August,6,Sunday,2021,09:40:00,09:40:00,62071,Warrant,Other,Probation Search,II,Initial,0,Northern,Open or Active,37.79397724,-122.429804,POINT (-122.42980398313114 37.79397724418211),Pacific Heights,LAGUNA ST \ PACIFIC AVE
5,1166803,220435590,2022-07-02T00:00:00,2,7,July,5,Saturday,2022,22:53:00,22,2022-07-02T00:00:00,2,7,July,5,Saturday,2022,23:00:00,23:00:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Bayview,Open or Active,37.71929846,-122.3900197,POINT (-122.39001968579463 37.719298464887245),Bayview Hunters Point,GILMAN AVE \ HAWES ST
6,1048942,210433554,2021-07-09T00:00:00,9,7,July,4,Friday,2021,20:35:00,20,2021-07-09T00:00:00,9,7,July,4,Friday,2021,20:36:00,20:36:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Bayview,Open or Active,37.73243402,-122.3838033,POINT (-122.38380325319487 37.732434022666936),Bayview Hunters Point,OSCEOLA LN \ LA SALLE AVE
7,1052375,210460353,2021-07-20T00:00:00,20,7,July,1,Tuesday,2021,20:00:00,20,2021-07-21T00:00:00,21,7,July,2,Wednesday,2021,01:11:00,01:11:00,72000,Miscellaneous,Non-Criminal,Found  Property,II,Initial,0,Central,Open or Active,37.80138108,-122.4016155,POINT (-122.4016154862511 37.8013810753515),Financial District/South Beach,UNION ST \ BATTERY ST
8,1079143,210661056,2021-10-10T00:00:00,10,10,October,6,Sunday,2021,14:21:00,14,2021-10-10T00:00:00,10,10,October,6,Sunday,2021,14:23:00,14:23:00,64085,Miscellaneous,Other,Investigative Detention,II,Initial,0,Central,Open or Active,37.80435492,-122.4234661,POINT (-122.42346605424164 37.80435492381118),Russian Hill,BAY ST \ POLK ST
9,1046244,210417332,2021-07-03T00:00:00,3,7,July,5,Saturday,2021,12:00:00,12,2021-07-03T00:00:00,3,7,July,5,Saturday,2021,12:37:00,12:37:00,71000,Property Crimes,Lost Property,Lost Property,II,Initial,0,Northern,Open or Active,37.80178734,-122.4466096,POINT (-122.44660957715965 37.801787342426636),Marina,BAY ST \ BAKER ST
10,1053415,216098495,2021-07-22T00:00:00,22,7,July,3,Thursday,2021,19:16:00,19,2021-07-23T00:00:00,23,7,July,4,Friday,2021,13:35:00,13:35:00,71000,Property Crimes,Lost Property,Lost Property,CI,Coplogic Initial,1,Southern,Open or Active,37.7652476,-122.3948288,POINT (-122.39482876133759 37.76524759917852),Potrero Hill,17TH ST \ MISSISSIPPI ST
11,1049843,210440565,2021-07-12T00:00:00,12,7,July,0,Monday,2021,18:18:00,18,2021-07-12T00:00:00,12,7,July,0,Monday,2021,18:26:00,18:26:00,26080,Miscellaneous,Other,Conspiracy,II,Initial,0,Mission,Open or Active,37.74817939,-122.4191706,POINT (-122.41917060471224 37.74817939136343),Mission,CESAR CHAVEZ ST \ BARTLETT ST
12,1047858,210426383,2021-07-07T00:00:00,7,7,July,2,Wednesday,2021,08:18:00,8,2021-07-07T00:00:00,7,7,July,2,Wednesday,2021,08:28:00,08:28:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Mission,Cite or Arrest Adult,37.75383659,-122.4185939,POINT (-122.41859394629981 37.753836586731786),Mission,23RD ST \ MISSION ST
13,1064204,210547860,2021-08-20T00:00:00,20,8,August,4,Friday,2021,22:00:00,22,2021-08-26T00:00:00,26,8,August,3,Thursday,2021,17:47:00,17:47:00,61030,Miscellaneous,Other,"Death Report, Cause Unknown",II,Initial,0,Mission,Open or Active,37.76161712,-122.4229553,POINT (-122.42295533494625 37.76161711991717),Mission,LINDA ST \ 18TH ST
14,1037117,210347977,2021-06-05T00:00:00,5,6,June,5,Saturday,2021,01:36:00,1,2021-06-05T00:00:00,5,6,June,5,Saturday,2021,01:36:00,01:36:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Northern,Open or Active,37.79750695,-122.4322043,POINT (-122.43220428969965 37.797506948421855),Marina,UNION ST \ BUCHANAN ST
15,1036934,210345909,2021-06-04T00:00:00,4,6,June,4,Friday,2021,09:40:00,9,2021-06-04T00:00:00,4,6,June,4,Friday,2021,09:42:00,09:42:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Northern,Cite or Arrest Adult,37.7858929,-122.4197387,POINT (-122.41973873477666 37.78589290013101),Tenderloin,GEARY ST \ POLK ST
16,1048373,210430287,2021-07-07T00:00:00,7,7,July,2,Wednesday,2021,00:00:00,0,2021-07-08T00:00:00,8,7,July,3,Thursday,2021,14:55:00,14:55:00,27195,Miscellaneous,Trespass,Trespassing,II,Initial,0,Richmond,Open or Active,37.77806874,-122.4867375,POINT (-122.48673752200943 37.778068743641164),Outer Richmond,ANZA ST \ 27TH AVE
17,1080699,210672122,2021-10-14T00:00:00,14,10,October,3,Thursday,2021,11:00:00,11,2021-10-14T00:00:00,14,10,October,3,Thursday,2021,11:12:00,11:12:00,64070,Suspicious,Suspicious Occ,Suspicious Occurrence,II,Initial,0,Central,Open or Active,37.79466628,-122.4031393,POINT (-122.40313929638648 37.794666280424096),Chinatown,CLAY ST \ MONTGOMERY ST
